driverId,teamId,salary,wanted_reputation,startYear,endYear,active
870,1,25000,1,1894,1898,False
871,2,25000,1,1894,1898,False
872,3,25000,1,1894,1896,False
873,4,25000,1,1894,1898,False
875,5,25000,1,1894,1897,False
878,1,25000,1,1894,1894,False
880,2,25000,1,1894,1897,False
882,3,25000,1,1894,1894,False
884,4,25000,1,1894,1895,False
889,5,25000,1,1894,1896,False
892,1,25000,1,1894,1897,False
894,2,25000,1,1894,1897,False
897,3,25000,1,1894,1894,False
898,4,25000,1,1894,1898,False
899,5,25000,1,1894,1895,False
902,1,25000,1,1894,1895,False
903,2,25000,1,1894,1898,False
904,3,25000,1,1894,1897,False
905,4,25000,1,1894,1895,False
906,5,25000,1,1894,1895,False
961,6,25000,4,1894,1894,False
962,7,25000,4,1894,1894,False
963,8,25000,4,1894,1894,False
964,9,25000,4,1894,1894,False
965,10,25000,4,1894,1895,False
966,6,25000,4,1894,1894,False
967,7,25000,4,1894,1894,False
968,8,25000,4,1894,1895,False
969,9,25000,4,1894,1894,False
970,10,25000,4,1894,1896,False
971,6,25000,4,1894,1896,False
972,7,25000,4,1894,1895,False
973,8,25000,4,1894,1896,False
974,9,25000,4,1894,1895,False
975,10,25000,4,1894,1897,False
976,6,25000,4,1894,1894,False
977,7,25000,4,1894,1898,False
978,8,25000,4,1894,1896,False
979,9,25000,4,1894,1894,False
980,10,25000,4,1894,1898,False
907,11,25000,6,1894,1894,False
908,12,25000,6,1894,1895,False
909,13,25000,6,1894,1896,False
911,14,25000,6,1894,1895,False
912,15,25000,6,1894,1895,False
913,0,25000,6,1894,1897,False
914,16,25000,6,1894,1896,False
915,17,25000,6,1894,1894,False
916,18,25000,6,1894,1894,False
918,19,25000,6,1894,1894,False
920,11,25000,6,1894,1894,False
921,12,25000,6,1894,1894,False
923,13,25000,6,1894,1895,False
925,14,25000,6,1894,1897,False
926,15,25000,6,1894,1898,False
927,0,25000,6,1894,1895,False
928,16,25000,6,1894,1898,False
929,17,25000,6,1894,1898,False
930,18,25000,6,1894,1896,False
931,19,25000,6,1894,1898,False
932,11,25000,6,1894,1897,False
933,12,25000,6,1894,1895,False
934,13,25000,6,1894,1896,False
935,14,25000,6,1894,1895,False
936,15,25000,6,1894,1894,False
937,0,25000,6,1894,1898,False
939,16,25000,6,1894,1894,False
940,17,25000,6,1894,1894,False
941,18,25000,6,1894,1894,False
942,19,25000,6,1894,1896,False
943,11,25000,6,1894,1895,False
944,12,25000,6,1894,1897,False
945,13,25000,6,1894,1894,False
946,14,25000,6,1894,1896,False
947,15,25000,6,1894,1898,False
948,0,25000,6,1894,1896,False
949,16,25000,6,1894,1897,False
950,17,25000,6,1894,1898,False
951,18,25000,6,1894,1895,False
952,19,25000,6,1894,1896,False
897,3,25000,1,1895,1898,False
878,1,25000,1,1895,1898,False
882,3,25000,1,1895,1896,False
907,5,25000,1,1895,1898,False
966,6,25000,4,1895,1895,False
967,9,25000,4,1895,1895,False
969,6,25000,4,1895,1895,False
976,7,25000,4,1895,1896,False
979,9,25000,4,1895,1897,False
981,6,25000,4,1895,1895,False
982,7,25000,4,1895,1895,False
983,8,25000,4,1895,1899,False
984,9,25000,4,1895,1899,False
915,11,25000,6,1895,1896,False
916,16,25000,6,1895,1897,False
918,17,25000,6,1895,1899,False
920,18,25000,6,1895,1896,False
921,11,25000,6,1895,1899,False
