driverId,forename,surname,year,dob,nationality,alive,ability,ability_original,ability_best,reputation_race,reputation_season,retire
1,Lewis,Hamilton,1985,1985-01-07,British,True,86,68,93,5454,0,36
30,Michael,Schumacher,1969,1969-01-03,German,True,34,67,95,84,0,51
579,Juan,Fangio,1911,1911-06-24,Argentine,True,81,67,97,3427,0,40
117,Alain,Prost,1955,1955-02-24,French,False,66,66,66,0,0,57
20,Sebastian,Vettel,1987,1987-07-03,German,True,83,66,90,5486,0,36
102,Ayrton,Senna,1960,1960-03-21,Brazilian,False,66,66,66,0,0,36
328,Jackie,Stewart,1939,1939-06-11,British,True,60,65,89,572,0,43
137,Nelson,Piquet,1952,1952-08-17,Brazilian,False,65,65,65,0,0,34
182,Niki,Lauda,1949,1949-02-22,Austrian,True,32,65,90,54,0,52
356,Jack,Brabham,1926,1926-04-02,Australian,True,91,65,91,5295,0,30
830,Max,Verstappen,1997,1997-09-30,Dutch,True,87,64,87,4846,0,34
10000,Rudolf,Caracciola,1901,1901-01-30,German,True,64,64,93,1246,0,43
4,Fernando,Alonso,1981,1981-07-29,Spanish,True,62,64,88,892,0,52
289,Graham,Hill,1929,1929-02-15,British,False,64,64,64,0,0,57
224,Emerson,Fittipaldi,1946,1946-12-12,Brazilian,True,30,64,89,30,0,56
373,Jim,Clark,1936,1936-03-04,British,False,63,63,63,0,0,36
57,Mika,Häkkinen,1968,1968-09-28,Finnish,True,47,63,92,398,0,45
647,Alberto,Ascari,1918,1918-07-13,Italian,False,63,63,63,0,0,49
95,Nigel,Mansell,1953,1953-08-08,British,True,35,63,87,91,0,53
8,Kimi,Räikkönen,1979,1979-10-17,Finnish,True,54,63,88,669,0,44
71,Damon,Hill,1960,1960-09-17,British,False,63,63,63,0,0,52
3,Nico,Rosberg,1985,1985-06-27,German,True,83,62,86,2871,0,33
222,Jody,Scheckter,1950,1950-01-29,South African,False,62,62,62,0,0,58
642,Nino,Farina,1906,1906-10-30,Italian,True,66,62,88,1021,0,42
18,Jenson,Button,1980,1980-01-19,British,False,62,62,62,0,0,35
341,John,Surtees,1934,1934-02-11,British,True,34,62,86,50,0,54
35,Jacques,Villeneuve,1971,1971-04-09,Canadian,False,62,62,62,0,0,55
304,Denny,Hulme,1936,1936-06-18,New Zealander,True,77,62,86,1414,0,37
178,Alan,Jones,1946,1946-11-02,Australian,True,29,61,84,20,0,54
