raceId,seriesId,season,trackId,layoutId,trackSafety,race_date,name,championship,reputation,reward,wet
0,1,1894,0,0,50,1894-07-22,Paris-Rouen,False,1000,1000000,1.0
1,1,1895,1,1,100,1895-05-18,Torino–Asti–Torino,False,1000,1000000,1.0
2,1,1895,2,2,150,1895-06-13,Paris–Bordeaux–Paris,False,1000,1000000,1.0
3,1,1895,3,3,200,1895-11-28,Chicago Times-Herald,False,1000,1000000,1.0
4,1,1896,0,0,250,1896-05-25,Bordeaux–Agen–Bordeaux,False,1000,1000000,1.0
5,1,1896,2,2,300,1896-05-30,Cosmopolitan Magazine New York City–Irvington,False,1000,1000000,1.0
6,1,1896,1,1,350,1896-07-11,Meeting of Spa,False,1000,1000000,1.0
7,1,1896,3,3,400,1896-10-03,Paris–Marseille–Paris,False,1000,1000000,1.0
8,1,1896,0,0,450,1896-11-14,London–Brighton,False,1000,1000000,1.0
9,1,1897,1,1,244,1897-01-31,Preteky Formula 1,True,1000,1000000,1.0
10,5,1897,2,2,700,1897-01-31,Preteky Formula 2,True,250,250000,1.0
11,6,1897,0,0,55,1897-01-31,Preteky Formula 3,True,166,166666,1.0
12,1,1897,0,0,55,1897-03-07,Preteky Formula 1,True,1000,1000000,1.0
13,5,1897,1,1,244,1897-03-07,Preteky Formula 2,True,250,250000,1.0
14,6,1897,0,0,55,1897-03-07,Preteky Formula 3,True,166,166666,1.0
15,1,1897,0,0,55,1897-04-11,Preteky Formula 1,True,1000,1000000,1.18
16,5,1897,0,0,55,1897-04-11,Preteky Formula 2,True,250,250000,1.0
17,6,1897,1,1,244,1897-04-11,Preteky Formula 3,True,166,166666,1.0
18,1,1897,0,0,55,1897-05-16,Preteky Formula 1,True,1000,1000000,1.0
19,5,1897,0,0,55,1897-05-16,Preteky Formula 2,True,250,250000,1.0
20,6,1897,0,0,55,1897-05-16,Preteky Formula 3,True,166,166666,1.0
21,1,1897,1,1,244,1897-06-20,Preteky Formula 1,True,1000,1000000,1.0
22,5,1897,0,0,55,1897-06-20,Preteky Formula 2,True,250,250000,1.0
23,6,1897,2,2,700,1897-06-20,Preteky Formula 3,True,166,166666,1.0
24,1,1897,2,2,700,1897-07-25,Preteky Formula 1,True,1000,1000000,1.0
25,5,1897,1,1,244,1897-07-25,Preteky Formula 2,True,250,250000,1.0
26,6,1897,3,3,500,1897-07-25,Preteky Formula 3,False,166,166666,1.0
27,1,1897,3,3,500,1897-08-29,Preteky Formula 1,True,1000,1000000,1.0
28,5,1897,3,3,500,1897-08-29,Preteky Formula 2,True,250,250000,1.0
29,6,1897,0,0,55,1897-08-29,Preteky Formula 3,True,166,166666,1.0
30,1,1897,1,1,244,1897-10-03,Preteky Formula 1,True,1000,1000000,1.0
31,5,1897,1,1,244,1897-10-03,Preteky Formula 2,True,250,250000,1.0
32,6,1897,1,1,244,1897-10-03,Preteky Formula 3,True,166,166666,1.0
33,1,1897,3,3,500,1897-11-07,Preteky Formula 1,True,1000,1000000,1.0
34,5,1897,3,3,500,1897-11-07,Preteky Formula 2,True,250,250000,1.0
35,6,1897,2,2,700,1897-11-07,Preteky Formula 3,True,166,166666,1.0
36,1,1897,0,0,55,1897-12-12,Preteky Formula 1,True,1000,1000000,1.0
