raceId,driverId,teamId,carId,position,season,seriesId,round,engine,chassi,pneu
0,906,5,19,1,1894,1,0,1,1,4
0,905,4,18,2,1894,1,0,1,1,4
0,903,2,16,3,1894,1,0,1,0,4
0,894,2,11,4,1894,1,0,1,0,4
0,898,4,13,5,1894,1,0,1,1,4
0,904,3,17,6,1894,1,0,1,0,4
0,889,5,9,7,1894,1,0,1,1,4
0,899,5,14,8,1894,1,0,1,1,4
0,884,4,8,9,1894,1,0,1,1,4
0,892,1,10,10,1894,1,0,0,1,4
0,902,1,15,11,1894,1,0,0,1,4
0,897,3,12,12,1894,1,0,1,0,4
0,873,4,3,13,1894,1,0,1,1,4
0,872,3,2,14,1894,1,0,1,0,4
0,878,1,5,15,1894,1,0,0,1,4
0,875,5,4,16,1894,1,0,1,1,4
0,882,3,7,17,1894,1,0,1,0,4
0,871,2,1,18,1894,1,0,1,0,4
0,880,2,6,19,1894,1,0,1,0,4
0,870,1,0,20,1894,1,0,0,1,4
1,898,4,10,1,1895,1,0,1,1,4
1,905,4,15,2,1895,1,0,1,1,4
1,903,2,13,3,1895,1,0,1,1,4
1,899,5,11,4,1895,1,0,1,1,4
1,894,2,9,5,1895,1,0,1,1,4
1,872,3,2,6,1895,1,0,1,0,4
1,907,5,19,7,1895,1,0,1,1,4
1,884,4,6,8,1895,1,0,1,1,4
1,873,4,3,9,1895,1,0,1,1,4
1,880,2,5,10,1895,1,0,1,1,4
1,902,1,12,11,1895,1,0,0,1,4
1,889,5,7,12,1895,1,0,1,1,4
1,871,2,1,13,1895,1,0,1,1,4
1,904,3,14,14,1895,1,0,1,0,4
1,892,1,8,15,1895,1,0,0,1,4
1,870,1,0,16,1895,1,0,0,1,4
1,875,5,4,17,1895,1,0,1,1,4
1,897,3,16,18,1895,1,0,1,0,4
1,878,1,17,19,1895,1,0,0,1,4
1,882,3,18,20,1895,1,0,1,0,4
2,898,4,10,1,1895,1,0,1,1,4
2,905,4,15,2,1895,1,0,1,1,4
2,903,2,13,3,1895,1,0,1,1,4
2,884,4,6,4,1895,1,0,1,1,4
2,871,2,1,5,1895,1,0,1,1,4
2,873,4,3,6,1895,1,0,1,1,4
