raceId,subjectId,year,round,points,position,seriesId,typ
9,872,1897,1,10,1,1,driver
9,894,1897,1,6,2,1,driver
9,905,1897,1,4,3,1,driver
9,911,1897,1,3,4,1,driver
9,902,1897,1,2,5,1,driver
9,912,1897,1,1,6,1,driver
9,873,1897,1,0,7,1,driver
9,875,1897,1,0,8,1,driver
9,882,1897,1,0,9,1,driver
9,880,1897,1,0,10,1,driver
9,871,1897,1,0,11,1,driver
9,878,1897,1,0,12,1,driver
9,909,1897,1,0,13,1,driver
9,897,1897,1,0,14,1,driver
9,907,1897,1,0,15,1,driver
9,892,1897,1,0,16,1,driver
9,884,1897,1,0,17,1,driver
9,903,1897,1,0,18,1,driver
9,898,1897,1,0,19,1,driver
9,870,1897,1,0,20,1,driver
9,3,1897,1,10,1,1,team
9,2,1897,1,6,2,1,team
9,4,1897,1,4,3,1,team
9,5,1897,1,1,4,1,team
9,1,1897,1,0,5,1,team
9,1,1897,1,16,1,1,engine
9,0,1897,1,6,2,1,engine
9,0,1897,1,17,1,1,chassi
9,1,1897,1,7,2,1,chassi
9,4,1897,1,23,1,1,pneu
10,982,1897,1,10,1,5,driver
10,980,1897,1,6,2,5,driver
10,975,1897,1,4,3,5,driver
10,983,1897,1,3,4,5,driver
10,985,1897,1,2,5,5,driver
10,981,1897,1,1,6,5,driver
10,991,1897,1,0,7,5,driver
10,990,1897,1,0,8,5,driver
10,973,1897,1,0,9,5,driver
10,974,1897,1,0,10,5,driver
10,978,1897,1,0,11,5,driver
10,992,1897,1,0,12,5,driver
10,977,1897,1,0,13,5,driver
10,984,1897,1,0,14,5,driver
10,979,1897,1,0,15,5,driver
10,986,1897,1,0,16,5,driver
10,988,1897,1,0,17,5,driver
10,987,1897,1,0,18,5,driver
10,976,1897,1,0,19,5,driver
10,989,1897,1,0,20,5,driver
10,7,1897,1,10,1,5,team
10,10,1897,1,6,2,5,team
10,8,1897,1,3,3,5,team
10,9,1897,1,1,4,5,team
10,6,1897,1,0,5,5,team
10,0,1897,1,12,1,5,engine
10,1,1897,1,10,2,5,engine
10,2,1897,1,13,1,5,chassi
10,0,1897,1,12,2,5,chassi
10,5,1897,1,23,1,5,pneu
11,959,1897,1,10,1,6,driver
11,947,1897,1,8,2,6,driver
11,960,1897,1,6,3,6,driver
11,954,1897,1,5,4,6,driver
11,957,1897,1,4,5,6,driver
11,953,1897,1,3,6,6,driver
11,946,1897,1,2,7,6,driver
11,961,1897,1,1,8,6,driver
11,921,1897,1,0,9,6,driver
11,936,1897,1,0,10,6,driver
